Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
45,Entry long,2025-09-10 14:42,M1 scalp up,3650.63,1,3650.63,-546.88,-0.10,0,249.12,0.05,-546.88,-0.10,-1458.28,-0.15,3
46,Exit long,2025-09-10 15:00,TSL,3646.98,1,3644.14,418.64,0.08,0,579.31,0.11,-14.74,0.00,-1039.65,-0.10,6
46,Entry long,2025-09-10 14:54,M1 scalp up,3644.14,1,3644.14,418.64,0.08,0,579.31,0.11,-14.74,0.00,-1039.65,-0.10,6
47,Exit long,2025-09-10 15:16,TSL,3647.35,1,3644.14,473.18,0.09,0,620.58,0.12,-39.8,-0.01,-566.47,-0.06,9
47,Entry long,2025-09-10 15:07,M1 scalp up,3644.14,1,3644.14,473.18,0.09,0,620.58,0.12,-39.8,-0.01,-566.47,-0.06,9
48,Exit long,2025-09-10 15:25,SL,3639.22,1,3643.45,-623.53,-0.12,0,0,0.00,-623.53,-0.12,-1190,-0.12,1
48,Entry long,2025-09-10 15:24,M1 scalp up,3643.45,1,3643.45,-623.53,-0.12,0,0,0.00,-623.53,-0.12,-1190,-0.12,1
49,Exit long,2025-09-10 16:00,SL,3643.81,1,3646.67,-421.58,-0.08,0,84.02,0.02,-421.58,-0.08,-1611.58,-0.16,4
49,Entry long,2025-09-10 15:56,M1 scalp up,3646.67,1,3646.67,-421.58,-0.08,0,84.02,0.02,-421.58,-0.08,-1611.58,-0.16,4
50,Exit long,2025-09-10 16:28,SL,3641.24,1,3644.73,-514.45,-0.10,0,78.13,0.01,-514.45,-0.10,-2126.04,-0.21,25
50,Entry long,2025-09-10 16:03,M1 scalp up,3644.73,1,3644.73,-514.45,-0.10,0,78.13,0.01,-514.45,-0.10,-2126.04,-0.21,25
51,Exit long,2025-09-10 17:18,TSL,3643.73,2,7285.38,306.61,0.03,0,454.01,0.04,-56.01,-0.01,-1819.43,-0.18,11
51,Entry long,2025-09-10 17:07,M1 scalp up,3642.69,2,7285.38,306.61,0.03,0,454.01,0.04,-56.01,-0.01,-1819.43,-0.18,11
52,Exit long,2025-09-10 17:33,TSL,3645.47,2,7285.92,739.98,0.07,0,887.39,0.08,-398,-0.04,-1079.45,-0.11,12
52,Entry long,2025-09-10 17:21,M1 scalp up,3642.96,2,7285.92,739.98,0.07,0,887.39,0.08,-398,-0.04,-1079.45,-0.11,12
53,Exit long,2025-09-10 18:00,TSL,3647.08,2,7291.3,421.58,0.04,0,568.99,0.05,-88.44,-0.01,-657.86,-0.07,10
53,Entry long,2025-09-10 17:50,M1 scalp up,3645.65,2,7291.3,421.58,0.04,0,568.99,0.05,-88.44,-0.01,-657.86,-0.07,10
54,Exit long,2025-09-10 19:51,TSL,3640.15,1,3635.87,630.9,0.12,0,793.05,0.15,0,0.00,-26.96,0.00,8
